image,image_level_affordance,object,pixel_level_affordance
./part-affordance-dataset/tools/hammer_01/hammer_01_00000073_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000073_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000073_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000073_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000179_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000179_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000179_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000179_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000001_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000001_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000001_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000001_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000169_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000169_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000169_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000169_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000242_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000242_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000242_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000242_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000252_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000252_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000252_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000252_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000124_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000124_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000124_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000124_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000134_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000134_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000134_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000134_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000156_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000156_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000156_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000156_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000220_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000220_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000220_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000220_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000230_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000230_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000230_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000230_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000087_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000087_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000087_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000087_label.mat
./part-affordance-dataset/tools/hammer_01/hammer_01_00000266_rgb.jpg,./part-affordance-dataset/tools/hammer_01/hammer_01_00000266_aff.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000266_obj.npy,./part-affordance-dataset/tools/hammer_01/hammer_01_00000266_label.mat
